Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
10,0.6358217877500197,0.7994589805603027,487.6853639981274,1359.4986247659176,0.49741825461387634,489.65172928370794,1342.1411224250937,0.7524864077568054,535.8617889747192,1397.0527563202247,0.5925073623657227,470.2664881788389,1311.9651217228466,0.3571605384349823,312.66444288389516,379.8452495903558,0.15982213616371155,400.6522120786517,1164.6166169241574,0.33955463767051697,377.390785931648,341.6541578885768,0.8543799519538879,786.3327334971912,801.0616368211611,0.9807366132736206,284.2724426498128,780.0315279728464,0.8771485090255737,252.32721793071164,498.29474631320227,0.991321325302124,761.4249765917602,460.8217755149813,0.46281108260154724,628.1126375234082,618.5102118445693,0.48018983006477356,393.5745845037453,625.5383895131087,0.5409202575683594,576.4407771535581,180.51042763927904,0.9100180864334106,502.6296231273409,189.3379857209738,0.6399213075637817,267.18033122659176,500.47215150983146,0.5731151103973389,275.6195136938203,495.74650339419475
11,0.6475970972986782,0.8763259649276733,484.15869323501875,1362.0234960205994,0.5320321321487427,466.19484433520597,1412.0504154962548,0.7988053560256958,517.7866046348315,1409.8618913857679,0.434190571308136,468.79915730337086,1312.347114934457,0.4699926972389221,290.7998302902622,402.2364378511236,0.17976680397987366,388.1309983614233,1161.8101884363296,0.41285011172294617,386.0301088483146,337.2033737125468,0.7686794996261597,789.5913799157304,808.5285726825844,0.9723042249679565,285.5675766619851,783.0974953183521,0.8469535708427429,246.33148993445695,496.9347275866105,0.9820752143859863,757.3954675795881,455.55561651451313,0.5724876523017883,637.0349075374531,608.9714273174158,0.48552390933036804,399.97161750936334,609.5000146301498,0.5238087773323059,556.8207221441947,176.26254535346442,0.9386054873466492,503.6747278792135,191.3187982794944,0.6976872086524963,262.75390625,498.8055945692884,0.5170614719390869,277.27469569288394,492.8088790379214
12,0.6466128282687243,0.9302499294281006,483.219145014045,1360.7139513108614,0.5321764945983887,489.92553253745325,1334.0041257022472,0.8120506405830383,517.12656542603,1407.5146301498128,0.5163081288337708,460.20540730337086,1343.967257724719,0.5313249826431274,292.8393463249064,403.5505910580525,0.13005226850509644,393.57597436797755,1171.3932291666667,0.3140498399734497,318.20905021067415,492.90247542134836,0.9483792781829834,789.6301498127341,798.3889279026217,0.9709620475769043,282.373595505618,788.7325901217229,0.8399850726127625,249.04340765449444,495.8719935042135,0.9786940813064575,753.4963132022472,457.2494221090824,0.4590919315814972,605.8324555243446,575.1715385065543,0.44977420568466187,413.822419241573,634.1998039559925,0.36360591650009155,595.5593106273409,180.20833333333334,0.9013943672180176,507.5738822565544,197.9502977235487,0.7350872159004211,265.6026158707865,496.40635972612364,0.5792316794395447,274.69598548689146,493.5969320575843
13,0.6658634596011218,0.8980093002319336,483.8393902153558,1360.040232911985,0.6000480651855469,491.9053575608615,1335.7413096910113,0.8123140931129456,517.613676264045,1410.7969042602997,0.5045174360275269,316.6364554073034,379.41881729868913,0.6209982633590698,293.82051732209743,404.84539589185397,0.1584784984588623,393.0675766619851,1160.0557408707866,0.3985901474952698,309.17090941011236,509.25199701544943,0.9130146503448486,792.2581636235955,797.564299508427,0.9528914093971252,284.71712605337086,784.9149988295881,0.8700295686721802,249.12314197097385,495.81841058052436,0.9908806085586548,769.4290584035582,468.3020248127341,0.6342616081237793,512.2515069054307,447.2819376170412,0.4641454517841339,526.4652095037453,625.0037306882023,0.3780270218849182,560.4954500234082,169.69027972846442,0.841486930847168,501.08563026685397,194.19022120786516,0.7237398624420166,265.2770218867041,497.91469159644197,0.5582458972930908,273.8357326779027,494.3594920411985
14,0.6408518254756927,0.8916037082672119,479.60952130149815,1359.6554599719102,0.5440000891685486,491.1996722846442,1332.7978698501872,0.8279075622558594,519.3363032537453,1407.092257724719,0.4861431419849396,462.54140332397003,1342.657127808989,0.36255788803100586,337.60328885767797,372.36017234316483,0.1810591220855713,386.12103522940083,1155.8929511938202,0.21954253315925598,319.88866455992513,497.6939957865169,0.8841568827629089,797.9335644897005,799.6363676264045,0.9611232280731201,285.5622366573034,787.2814255617977,0.9416792392730713,249.12511704119856,497.0522808403558,0.979831337928772,747.25860252809,472.00487915496257,0.7635683417320251,627.0981097846443,573.6512830641386,0.6911613941192627,515.0965589887641,560.3961113061798,0.20399883389472961,533.336405664794,211.36930887172286,0.7165447473526001,330.81380208333337,1119.9270687031835,0.6630120277404785,265.4179102294007,509.2378423455056,0.5765909552574158,265.677741690075,504.80849133895134
15,0.621818870306015,0.8788544535636902,475.94210849719104,1359.6332221441949,0.561856746673584,468.0714536516854,1414.3741221910113,0.855460524559021,517.622820107678,1408.9789618445693,0.47952738404273987,461.43807057584274,1345.1476182116105,0.3726845383644104,259.06228054775283,399.483592286985,0.19574770331382751,394.43944580992513,1159.1300181413858,0.2427372932434082,373.03773115636704,276.08290540145134,0.7434507608413696,813.5507373595506,804.5080612125469,0.9832236766815186,283.8136411516854,784.0179511938203,0.9552434682846069,247.67526919475654,497.5453534644195,0.9085128307342529,731.1012845271537,497.03669973080525,0.3707393705844879,610.1478376638577,643.2451135299626,0.5428081154823303,387.9789911048689,583.6864319990636,0.5293802618980408,683.7393931413858,402.6729649461611,0.7832687497138977,328.3154113998128,1118.363910346442,0.6193975210189819,270.83713717228466,521.3208099250936,0.5480273962020874,675.8012933052435,426.70821629213486
16,0.657034356804455,0.893906831741333,475.96939372659176,1370.1081168071162,0.5865505933761597,462.1913038389513,1414.3561271067417,0.8132234811782837,517.8288857677903,1411.360311329588,0.47062569856643677,458.6382988061798,1343.1472378277153,0.5779802203178406,321.45891853932585,358.27071629213486,0.232703298330307,390.0797343164794,1153.7059632490636,0.32144707441329956,390.6413126170412,263.0607370669476,0.7017843127250671,774.8429453417602,809.1097553838952,0.9828300476074219,287.7840443586142,791.3629447565544,0.9241583943367004,242.83605454119856,499.28239115168543,0.8872661590576172,691.4281220739701,526.6837839419476,0.28226572275161743,445.4111803604869,581.5141107794944,0.5337510108947754,421.56140273876406,577.0146082045881,0.9287165999412537,679.768038974719,455.21180799391385,0.6992594599723816,327.65544534176036,1114.3559076544943,0.7236010432243347,266.50924625468167,514.6378306413858,0.6095141172409058,270.83267497659176,506.4957499414794
17,0.6615346266942865,0.9163974523544312,477.0866982677903,1356.4823267790262,0.6408534049987793,498.54239817415737,1340.7045880149813,0.6964551210403442,521.3399754213483,1405.2598314606741,0.4637252390384674,461.64530664794006,1354.5308110955057,0.5687964558601379,293.01432291666674,392.0939036165731,0.19773340225219727,389.4239378511236,1148.7365402621724,0.3577747344970703,376.2320049157304,310.79602645131087,0.8435477018356323,787.1140566479401,814.5727264747192,0.9273988008499146,290.5897413389513,796.5831285112359,0.8962044715881348,662.4638635299625,466.023671582397,0.8988978862762451,246.18043363764048,508.0757329705056,0.5218953490257263,566.1782391151686,554.6812821863296,0.7995761632919312,397.8492948267791,580.3135241104869,0.4572582244873047,690.5846207865168,574.3702452013109,0.7550329566001892,329.8219510767791,1114.1603025514983,0.7319524884223938,258.96242977528095,502.5138620669476,0.5725888013839722,265.09231624531833,501.46290525514985
18,0.6063478150788475,0.8034989833831787,494.43783649344573,1341.5543071161048,0.48451003432273865,467.89369733146066,1381.8556882022472,0.6964614987373352,522.5475479868915,1416.9452247191011,0.6613442301750183,460.3691186797753,1339.6961317883895,0.2696252167224884,611.7627136001872,1382.2572858146068,0.18258517980575562,388.4387435627341,1139.8962722378278,0.2628733515739441,341.0162833567416,466.39743533473785,0.7411956787109375,289.2019984784645,797.1442679073034,0.9268027544021606,288.3824906367041,796.8790964419476,0.658835232257843,246.5327276451311,500.25895365168543,0.9285675287246704,244.7464595037453,510.457265332397,0.47975149750709534,458.1354605571162,598.6185115285581,0.544184684753418,393.0846207865169,588.88437792603,0.5069957375526428,594.9899783473783,657.1375380383895,0.8325318694114685,331.3203710205993,1114.34376463015,0.7320366501808167,263.13472904962555,497.0652650983146,0.5961127281188965,261.2884041432585,497.6681735720974
19,0.6205405102056616,0.8119027614593506,489.1496225421348,1367.0695809925094,0.456553190946579,468.5826310861423,1412.7409585674159,0.5523253083229065,522.4142673220974,1416.1451018258429,0.599834680557251,620.8127779728466,708.2931004213483,0.23811453580856323,308.8504359784645,379.16154611423224,0.1960485875606537,345.96098139044943,477.6691245318352,0.3934278190135956,628.9142965823971,1214.0327276451312,0.8955879211425781,803.7987915496255,783.3462078651686,0.9707169532775879,286.51363529962555,797.0639483848315,0.8093432784080505,244.01297694288394,497.8384685159176,0.9196000099182129,245.12399051966293,504.00247981039325,0.5118507146835327,477.3904201779027,571.5769838483146,0.7114516496658325,411.02279377340824,585.4197755735019,0.39946219325065613,640.1303546348315,724.8290466994382,0.8510079383850098,334.34793422284645,1114.952890917603,0.7368919849395752,261.0696834035581,505.4081080290262,0.49506914615631104,265.52361306179773,501.06737915496257
